,Id,DATE,Price
0,7129300520,20141013T000000,"$221,900.00"
1,6414100192,20141209T000000,"$538,000.00"
2,5631500400,20150225T000000,"$180,000.00"
3,2487200875,20141209T000000,"$604,000.00"
4,1954400510,20150218T000000,"$510,000.00"
5,7237550310,20140512T000000,"$1,225,000.00"
6,1321400060,20140627T000000,"$257,500.00"
7,2008000270,20150115T000000,"$291,850.00"
8,2414600126,20150415T000000,"$229,500.00"
9,3793500160,20150312T000000,"$323,000.00"
10,1736800520,20150403T000000,"$662,500.00"
11,9212900260,20140527T000000,"$468,000.00"
12,114101516,20140528T000000,"$310,000.00"
13,6054650070,20141007T000000,"$400,000.00"
14,1175000570,20150312T000000,"$530,000.00"
15,9297300055,20150124T000000,"$650,000.00"
16,1875500060,20140731T000000,"$395,000.00"
17,6865200140,20140529T000000,"$485,000.00"
18,16000397,20141205T000000,"$189,000.00"
19,7983200060,20150424T000000,"$230,000.00"
20,6300500875,20140514T000000,"$385,000.00"
21,2524049179,20140826T000000,"$2,000,000.00"
22,7137970340,20140703T000000,"$285,000.00"
23,8091400200,20140516T000000,"$252,700.00"
24,3814700200,20141120T000000,"$329,000.00"
25,1202000200,20141103T000000,"$233,000.00"
26,1794500383,20140626T000000,"$937,000.00"
27,3303700376,20141201T000000,"$667,000.00"
28,5101402488,20140624T000000,"$438,000.00"
29,1873100390,20150302T000000,"$719,000.00"
30,8562750320,20141110T000000,"$580,500.00"
31,2426039314,20141201T000000,"$280,000.00"
32,461000390,20140624T000000,"$687,500.00"
33,7589200193,20141110T000000,"$535,000.00"
34,7955080270,20141203T000000,"$322,500.00"
35,9547205180,20140613T000000,"$696,000.00"
36,9435300030,20140528T000000,"$550,000.00"
37,2768000400,20141230T000000,"$640,000.00"
38,7895500070,20150213T000000,"$240,000.00"
39,2078500320,20140620T000000,"$605,000.00"
40,5547700270,20140715T000000,"$625,000.00"
41,7766200013,20140811T000000,"$775,000.00"
42,7203220400,20140707T000000,"$861,990.00"
43,9270200160,20141028T000000,"$685,000.00"
44,1432701230,20140729T000000,"$309,000.00"
45,8035350320,20140718T000000,"$488,000.00"
46,8945200830,20150325T000000,"$210,490.00"
47,4178300310,20140716T000000,"$785,000.00"
48,9215400105,20150428T000000,"$450,000.00"
49,822039084,20150311T000000,"$1,350,000.00"
50,5245600105,20140916T000000,"$228,000.00"
51,7231300125,20150217T000000,"$345,000.00"
52,7518505990,20141231T000000,"$600,000.00"
53,3626039271,20150205T000000,"$585,000.00"
54,4217401195,20150303T000000,"$920,000.00"
55,9822700295,20140512T000000,"$885,000.00"
56,9478500640,20140819T000000,"$292,500.00"
